Sea,Date,HID,AID,Open,OddsH,OddsA,HSC,ASC,H,A,S_H,PPG_H,PIM_H,FOW_H,HIT_H,TAK_H,GIV_H,BLK_H,S_A,PPG_A,PIM_A,FOW_A,HIT_A,TAK_A,GIV_A,BLK_A
2010,2010-10-11,31,16,2010-10-10,0.0,0.0,3,4,False,True,35,0,11.0,32,20.0,8.0,13.0,9.0,30,1,26.0,21,14.0,1.0,5.0,14.0
2010,2010-10-11,15,22,2010-10-10,0.0,0.0,4,2,True,False,38,0,6.0,28,20.0,8.0,8.0,10.0,27,0,8.0,29,13.0,3.0,8.0,11.0
2010,2010-10-11,1,30,2010-10-10,0.0,0.0,3,2,True,False,26,0,10.0,22,22.0,9.0,12.0,15.0,31,0,12.0,32,16.0,6.0,4.0,11.0
2010,2010-10-11,12,18,2010-10-10,0.0,0.0,1,3,False,True,31,0,12.0,26,24.0,6.0,14.0,6.0,31,1,4.0,25,17.0,6.0,10.0,4.0
2010,2010-10-12,10,22,2010-10-11,0.0,0.0,4,5,False,True,28,1,13.0,30,29.0,19.0,15.0,11.0,38,0,7.0,32,26.0,6.0,4.0,26.0
2010,2010-10-12,3,20,2010-10-11,0.0,0.0,2,1,True,False,35,0,6.0,35,23.0,6.0,4.0,25.0,42,0,0.0,24,13.0,6.0,5.0,16.0
2010,2010-10-13,1,9,2010-10-12,0.0,0.0,2,1,True,False,26,1,11.0,26,15.0,13.0,13.0,22.0,24,0,13.0,37,13.0,3.0,2.0,13.0
2010,2010-10-13,31,12,2010-10-12,0.0,0.0,0,1,False,True,24,0,11.0,21,5.0,5.0,11.0,11.0,35,0,9.0,23,19.0,3.0,17.0,18.0
2010,2010-10-13,26,17,2010-10-12,0.0,0.0,3,1,True,False,35,0,10.0,21,46.0,8.0,10.0,11.0,32,0,4.0,31,28.0,4.0,4.0,17.0
2010,2010-10-13,18,27,2010-10-12,0.0,0.0,3,4,False,True,25,1,11.0,21,35.0,6.0,4.0,10.0,14,1,11.0,25,32.0,3.0,3.0,20.0
2010,2010-10-14,30,0,2010-10-13,0.0,0.0,3,2,True,False,39,1,8.0,32,19.0,16.0,8.0,8.0,24,1,8.0,22,18.0,9.0,10.0,12.0
2010,2010-10-14,15,6,2010-10-13,0.0,0.0,2,3,False,True,26,0,17.0,24,16.0,7.0,8.0,16.0,24,0,13.0,29,8.0,10.0,11.0,19.0
2010,2010-10-14,21,3,2010-10-13,0.0,0.0,4,3,True,False,32,2,11.0,27,25.0,7.0,10.0,10.0,39,2,25.0,41,26.0,4.0,5.0,12.0
2010,2010-10-14,16,5,2010-10-13,0.0,0.0,2,3,False,True,25,1,6.0,27,13.0,10.0,7.0,14.0,27,1,4.0,27,19.0,7.0,3.0,11.0
2010,2010-10-15,5,29,2010-10-14,0.0,0.0,4,3,True,False,22,2,17.0,33,20.0,10.0,11.0,12.0,35,2,13.0,24,12.0,3.0,3.0,9.0
2010,2010-10-15,19,8,2010-10-14,0.0,0.0,4,2,True,False,24,4,16.0,37,23.0,7.0,10.0,10.0,26,1,12.0,31,14.0,4.0,4.0,12.0
2010,2010-10-15,4,10,2010-10-14,0.0,0.0,4,1,True,False,15,1,10.0,29,30.0,12.0,9.0,19.0,26,1,6.0,31,24.0,4.0,6.0,11.0
2010,2010-10-15,13,27,2010-10-14,0.0,0.0,3,4,False,True,24,0,21.0,19,41.0,7.0,11.0,12.0,38,1,17.0,32,29.0,5.0,5.0,7.0
2010,2010-10-15,2,20,2010-10-14,0.0,0.0,0,3,False,True,27,0,6.0,24,19.0,5.0,15.0,15.0,18,0,6.0,32,6.0,6.0,13.0,19.0
2010,2010-10-15,18,9,2010-10-14,0.0,0.0,3,2,True,False,29,1,28.0,30,18.0,5.0,7.0,14.0,24,1,19.0,33,16.0,3.0,1.0,19.0
2010,2010-10-15,25,16,2010-10-14,0.0,0.0,2,5,False,True,32,0,4.0,33,24.0,8.0,6.0,9.0,40,0,8.0,27,12.0,9.0,3.0,19.0
2010,2010-10-15,31,24,2010-10-14,0.0,0.0,1,2,False,True,23,0,6.0,26,22.0,4.0,13.0,16.0,28,1,2.0,24,17.0,2.0,3.0,16.0
2010,2010-10-15,12,22,2010-10-14,0.0,0.0,2,3,False,True,43,1,15.0,33,9.0,7.0,7.0,5.0,22,1,26.0,22,6.0,4.0,1.0,11.0
2010,2010-10-16,12,23,2010-10-15,0.0,0.0,1,4,False,True,32,0,6.0,21,21.0,2.0,10.0,5.0,35,0,8.0,21,24.0,2.0,3.0,12.0
2010,2010-10-16,20,6,2010-10-15,0.0,0.0,6,0,True,False,38,1,4.0,32,19.0,4.0,8.0,10.0,29,0,8.0,29,26.0,4.0,5.0,13.0
2010,2010-10-16,9,22,2010-10-15,0.0,0.0,5,2,True,False,25,1,13.0,38,6.0,9.0,8.0,13.0,30,0,19.0,26,6.0,6.0,7.0,14.0
2010,2010-10-16,26,3,2010-10-15,0.0,0.0,4,1,True,False,19,0,15.0,25,27.0,6.0,13.0,14.0,26,0,25.0,37,30.0,4.0,6.0,13.0
2010,2010-10-16,15,18,2010-10-15,0.0,0.0,1,5,False,True,30,1,25.0,30,16.0,5.0,8.0,17.0,32,2,19.0,27,18.0,5.0,5.0,15.0
2010,2010-10-16,21,17,2010-10-15,0.0,0.0,4,5,False,True,41,3,13.0,27,31.0,7.0,6.0,12.0,33,3,19.0,31,18.0,4.0,4.0,13.0
2010,2010-10-17,19,25,2010-10-16,0.0,0.0,2,3,False,True,23,1,13.0,32,18.0,5.0,10.0,9.0,25,0,15.0,31,16.0,6.0,2.0,18.0
2010,2010-10-17,4,29,2010-10-16,0.0,0.0,3,2,True,False,25,0,12.0,34,49.0,6.0,11.0,17.0,43,1,10.0,22,28.0,5.0,4.0,10.0
2010,2010-10-17,5,1,2010-10-16,0.0,0.0,2,3,False,True,39,0,10.0,32,22.0,11.0,10.0,13.0,34,2,12.0,26,18.0,8.0,8.0,14.0
2010,2010-10-17,2,8,2010-10-16,0.0,0.0,5,3,True,False,46,1,10.0,45,12.0,7.0,12.0,8.0,30,0,10.0,18,14.0,5.0,9.0,14.0
2010,2010-10-17,7,17,2010-10-16,0.0,0.0,2,4,False,True,39,1,13.0,41,19.0,11.0,16.0,12.0,28,1,13.0,25,15.0,5.0,7.0,14.0
2010,2010-10-17,28,10,2010-10-16,0.0,0.0,1,2,False,True,26,0,18.0,29,24.0,5.0,3.0,12.0,33,1,10.0,27,20.0,2.0,4.0,17.0
2010,2010-10-17,16,31,2010-10-16,0.0,0.0,4,3,True,False,21,1,16.0,40,38.0,9.0,9.0,18.0,41,0,12.0,21,26.0,4.0,5.0,15.0
2010,2010-10-18,21,28,2010-10-17,0.0,0.0,3,2,True,False,35,0,6.0,26,21.0,4.0,7.0,8.0,38,0,8.0,37,14.0,4.0,5.0,5.0
2010,2010-10-18,3,0,2010-10-17,0.0,0.0,5,1,True,False,28,2,14.0,36,14.0,10.0,7.0,15.0,33,0,14.0,23,18.0,6.0,2.0,26.0
2010,2010-10-18,27,9,2010-10-17,0.0,0.0,1,2,False,True,30,1,11.0,22,23.0,10.0,17.0,10.0,20,1,11.0,34,18.0,3.0,14.0,23.0
2010,2010-10-18,13,22,2010-10-17,0.0,0.0,1,3,False,True,32,0,8.0,25,32.0,2.0,4.0,8.0,34,2,14.0,38,23.0,1.0,2.0,23.0
2010,2010-10-18,18,30,2010-10-17,0.0,0.0,5,2,True,False,29,2,22.0,29,17.0,5.0,6.0,10.0,34,1,32.0,28,23.0,3.0,1.0,11.0
2010,2010-10-18,6,4,2010-10-17,0.0,0.0,5,4,True,False,44,4,10.0,37,14.0,9.0,10.0,19.0,19,0,10.0,29,16.0,4.0,5.0,14.0
2010,2010-10-19,1,23,2010-10-18,0.0,0.0,1,3,False,True,36,0,18.0,28,33.0,10.0,8.0,12.0,21,0,20.0,27,23.0,1.0,8.0,19.0
2010,2010-10-19,16,29,2010-10-18,0.0,0.0,3,2,True,False,33,1,7.0,28,17.0,9.0,14.0,16.0,34,0,9.0,26,20.0,2.0,2.0,24.0
2010,2010-10-20,17,31,2010-10-19,0.0,0.0,1,4,False,True,18,1,10.0,24,21.0,11.0,14.0,19.0,42,1,8.0,25,11.0,8.0,5.0,9.0
2010,2010-10-20,7,0,2010-10-19,0.0,0.0,2,5,False,True,43,1,10.0,40,22.0,11.0,15.0,15.0,31,0,12.0,21,16.0,8.0,14.0,20.0
2010,2010-10-20,5,2,2010-10-19,0.0,0.0,0,1,False,True,34,0,2.0,33,23.0,11.0,18.0,14.0,35,0,10.0,29,23.0,10.0,6.0,11.0
2010,2010-10-20,19,3,2010-10-19,1.98,1.96,6,2,True,False,24,3,19.0,29,28.0,6.0,7.0,16.0,27,1,23.0,39,31.0,5.0,4.0,10.0
2010,2010-10-20,25,21,2010-10-19,1.84,2.12,3,1,True,False,22,0,10.0,31,19.0,9.0,7.0,20.0,32,0,6.0,37,11.0,0.0,0.0,7.0
2010,2010-10-21,6,9,2010-10-20,1.73,2.3,2,3,False,True,30,0,10.0,29,16.0,5.0,9.0,5.0,25,1,8.0,28,16.0,4.0,7.0,17.0
2010,2010-10-21,10,2,2010-10-20,1.57,2.65,4,2,True,False,30,1,12.0,39,27.0,14.0,12.0,16.0,36,0,10.0,21,32.0,4.0,3.0,15.0
2010,2010-10-21,20,4,2010-10-20,1.83,2.13,1,4,False,True,28,0,9.0,29,20.0,5.0,6.0,8.0,29,0,21.0,26,22.0,3.0,5.0,10.0
2010,2010-10-21,15,21,2010-10-20,1.64,2.47,2,3,False,True,42,0,13.0,30,13.0,12.0,9.0,8.0,22,0,15.0,37,11.0,4.0,11.0,28.0
2010,2010-10-21,26,0,2010-10-20,1.66,2.43,4,3,True,False,27,0,6.0,39,20.0,5.0,17.0,11.0,30,0,8.0,23,27.0,5.0,9.0,6.0
2010,2010-10-21,23,1,2010-10-20,1.87,2.08,4,1,True,False,34,3,8.0,27,34.0,9.0,3.0,14.0,39,0,6.0,29,23.0,5.0,4.0,13.0
2010,2010-10-21,16,3,2010-10-20,1.58,2.61,2,1,True,False,32,0,6.0,29,24.0,16.0,8.0,16.0,37,1,8.0,34,33.0,10.0,3.0,12.0
2010,2010-10-21,27,13,2010-10-20,1.83,2.13,1,2,False,True,25,0,9.0,31,21.0,9.0,10.0,12.0,32,0,15.0,25,25.0,6.0,5.0,30.0
2010,2010-10-22,5,18,2010-10-21,1.78,2.2,3,4,False,True,24,1,15.0,28,24.0,13.0,9.0,13.0,38,0,13.0,30,26.0,10.0,7.0,10.0
2010,2010-10-22,8,19,2010-10-21,1.9,2.04,2,4,False,True,36,2,16.0,41,26.0,11.0,19.0,10.0,25,1,20.0,27,18.0,15.0,14.0,18.0
2010,2010-10-22,22,7,2010-10-21,1.89,2.06,2,4,False,True,31,1,22.0,24,23.0,8.0,4.0,14.0,34,2,8.0,34,21.0,8.0,5.0,9.0
2010,2010-10-22,31,30,2010-10-21,1.63,2.48,2,4,False,True,36,0,10.0,30,18.0,2.0,11.0,6.0,32,2,4.0,30,14.0,2.0,4.0,15.0
2010,2010-10-22,17,6,2010-10-21,1.68,2.38,2,5,False,True,30,1,26.0,26,23.0,14.0,8.0,5.0,33,2,28.0,29,11.0,10.0,5.0,20.0
2010,2010-10-22,28,26,2010-10-21,1.75,2.26,4,2,True,False,27,0,4.0,30,20.0,5.0,4.0,9.0,30,0,6.0,31,25.0,11.0,4.0,11.0
2010,2010-10-22,25,2,2010-10-21,1.82,2.15,2,6,False,True,22,0,15.0,39,25.0,10.0,4.0,13.0,23,0,13.0,25,30.0,7.0,1.0,13.0
2010,2010-10-23,20,9,2010-10-22,1.71,2.32,4,3,True,False,30,0,10.0,34,21.0,5.0,6.0,8.0,33,2,12.0,29,25.0,5.0,3.0,9.0
2010,2010-10-23,3,19,2010-10-22,1.58,2.6,5,1,True,False,35,0,13.0,33,25.0,9.0,5.0,12.0,24,0,15.0,28,18.0,3.0,6.0,21.0
2010,2010-10-23,23,13,2010-10-22,1.59,2.58,2,3,False,True,37,1,27.0,28,33.0,2.0,10.0,18.0,30,1,37.0,28,28.0,11.0,5.0,15.0
2010,2010-10-23,10,21,2010-10-22,1.55,2.7,5,4,True,False,41,1,2.0,34,18.0,6.0,6.0,11.0,25,0,6.0,24,32.0,4.0,10.0,17.0
2010,2010-10-23,30,24,2010-10-22,1.75,2.25,0,3,False,True,19,0,35.0,33,25.0,7.0,14.0,16.0,34,0,13.0,21,18.0,6.0,8.0,11.0
2010,2010-10-23,15,27,2010-10-22,1.55,2.71,5,2,True,False,40,1,15.0,31,17.0,6.0,9.0,18.0,14,0,20.0,23,26.0,5.0,7.0,13.0
2010,2010-10-23,1,17,2010-10-22,1.44,3.12,4,3,True,False,44,0,14.0,41,29.0,11.0,15.0,14.0,32,1,19.0,23,15.0,5.0,5.0,27.0
2010,2010-10-23,29,16,2010-10-22,2.05,1.89,4,2,True,False,28,1,18.0,23,22.0,15.0,5.0,17.0,25,1,18.0,29,15.0,6.0,7.0,10.0
2010,2010-10-23,12,31,2010-10-22,1.71,2.32,1,6,False,True,27,0,8.0,28,25.0,4.0,9.0,12.0,29,1,6.0,25,10.0,5.0,8.0,9.0
2010,2010-10-24,29,18,2010-10-23,1.83,2.14,1,0,True,False,24,0,13.0,25,24.0,7.0,6.0,7.0,31,0,11.0,21,30.0,4.0,7.0,10.0
2010,2010-10-24,4,5,2010-10-23,1.76,2.24,0,1,False,True,30,0,4.0,33,22.0,12.0,13.0,12.0,24,0,4.0,24,25.0,7.0,10.0,15.0
2010,2010-10-24,8,7,2010-10-23,2.2,1.78,1,6,False,True,22,0,17.0,22,17.0,9.0,12.0,12.0,34,3,27.0,34,20.0,18.0,12.0,5.0
2010,2010-10-24,16,25,2010-10-23,1.41,3.25,2,3,False,True,32,1,9.0,27,17.0,17.0,11.0,18.0,40,1,6.0,28,28.0,8.0,3.0,15.0
2010,2010-10-24,6,5,2010-10-23,1.96,1.98,3,4,False,True,45,0,2.0,33,13.0,6.0,8.0,11.0,26,0,10.0,27,21.0,5.0,3.0,13.0
2010,2010-10-24,13,12,2010-10-23,1.72,2.31,3,1,True,False,34,1,8.0,31,35.0,11.0,2.0,21.0,28,0,14.0,35,37.0,5.0,4.0,12.0
2010,2010-10-24,28,0,2010-10-23,1.65,2.44,3,4,False,True,39,0,11.0,40,11.0,7.0,12.0,13.0,41,1,7.0,19,17.0,3.0,3.0,18.0
2010,2010-10-24,22,26,2010-10-23,1.82,2.15,4,6,False,True,32,2,15.0,26,15.0,6.0,10.0,12.0,30,2,28.0,33,19.0,9.0,1.0,7.0
2010,2010-10-25,25,15,2010-10-24,1.93,2.01,2,1,True,False,25,1,6.0,29,23.0,2.0,2.0,12.0,29,0,22.0,22,22.0,1.0,1.0,14.0
2010,2010-10-25,2,7,2010-10-24,1.9,2.05,4,0,True,False,30,1,9.0,25,13.0,7.0,10.0,18.0,27,0,15.0,32,4.0,5.0,6.0,10.0
2010,2010-10-26,30,28,2010-10-25,1.84,2.12,5,2,True,False,36,2,14.0,26,9.0,10.0,14.0,26.0,30,0,10.0,45,18.0,8.0,8.0,12.0
2010,2010-10-26,15,31,2010-10-25,1.7,2.35,6,3,True,False,34,3,11.0,31,24.0,6.0,9.0,17.0,35,2,15.0,29,12.0,7.0,8.0,14.0
2010,2010-10-26,19,26,2010-10-25,1.85,2.1,2,3,False,True,22,0,14.0,39,21.0,4.0,11.0,19.0,34,2,21.0,38,20.0,5.0,9.0,19.0
2010,2010-10-26,27,20,2010-10-25,1.77,2.22,3,1,True,False,27,1,6.0,26,35.0,9.0,12.0,27.0,22,1,4.0,15,28.0,8.0,9.0,21.0
2010,2010-10-27,3,22,2010-10-26,1.55,2.69,4,3,True,False,31,1,9.0,31,27.0,11.0,6.0,14.0,39,0,11.0,27,26.0,6.0,3.0,14.0
2010,2010-10-27,4,21,2010-10-26,1.69,2.36,2,5,False,True,37,1,19.0,27,23.0,9.0,11.0,7.0,26,1,10.0,29,27.0,6.0,5.0,14.0
2010,2010-10-27,2,8,2010-10-26,1.49,2.9,5,4,True,False,39,2,23.0,32,19.0,14.0,9.0,13.0,32,1,37.0,25,17.0,4.0,13.0,16.0
2010,2010-10-27,13,17,2010-10-26,1.59,2.59,4,6,False,True,28,0,6.0,32,35.0,5.0,6.0,14.0,26,1,2.0,28,23.0,7.0,3.0,21.0
2010,2010-10-27,6,18,2010-10-26,2.05,1.89,5,3,True,False,31,1,22.0,30,17.0,8.0,5.0,20.0,31,0,26.0,30,24.0,2.0,9.0,10.0
2010,2010-10-27,0,1,2010-10-26,2.0,1.94,0,3,False,True,29,0,6.0,29,23.0,6.0,3.0,20.0,33,0,10.0,41,20.0,5.0,4.0,16.0
2010,2010-10-28,10,28,2010-10-27,1.57,2.65,2,4,False,True,45,1,10.0,33,20.0,10.0,10.0,10.0,36,1,10.0,24,14.0,5.0,7.0,13.0
2010,2010-10-28,25,8,2010-10-27,1.59,2.6,3,2,True,False,41,0,12.0,40,21.0,9.0,3.0,19.0,27,1,16.0,28,19.0,9.0,2.0,9.0
2010,2010-10-28,30,20,2010-10-27,1.66,2.43,5,3,True,False,28,0,11.0,27,21.0,8.0,5.0,17.0,31,1,7.0,17,21.0,12.0,9.0,10.0
2010,2010-10-28,7,12,2010-10-27,1.57,2.64,5,2,True,False,39,1,22.0,35,23.0,9.0,15.0,14.0,29,1,36.0,19,18.0,9.0,11.0,14.0
2010,2010-10-28,23,27,2010-10-27,1.51,2.83,2,0,True,False,32,1,25.0,24,30.0,10.0,9.0,13.0,20,0,11.0,29,30.0,6.0,4.0,11.0
2010,2010-10-28,16,26,2010-10-27,1.56,2.67,3,1,True,False,28,0,4.0,25,23.0,9.0,7.0,16.0,34,0,6.0,30,27.0,5.0,2.0,19.0
2010,2010-10-29,18,15,2010-10-28,1.69,2.36,2,3,False,True,28,0,18.0,38,32.0,0.0,9.0,15.0,24,1,22.0,34,26.0,8.0,3.0,16.0
2010,2010-10-29,2,22,2010-10-28,1.63,2.49,5,6,False,True,19,1,22.0,26,19.0,7.0,10.0,10.0,36,1,16.0,30,11.0,8.0,7.0,12.0
2010,2010-10-29,5,29,2010-10-28,1.7,2.35,0,3,False,True,24,0,21.0,28,19.0,10.0,12.0,13.0,34,1,8.0,22,15.0,11.0,8.0,17.0
2010,2010-10-29,19,1,2010-10-28,2.1,1.85,2,1,True,False,17,1,4.0,34,29.0,6.0,9.0,13.0,22,0,10.0,31,29.0,2.0,5.0,15.0
2010,2010-10-29,13,0,2010-10-28,1.71,2.32,3,4,False,True,43,2,10.0,38,35.0,10.0,4.0,22.0,38,2,12.0,28,37.0,8.0,4.0,12.0
2010,2010-10-29,17,31,2010-10-28,1.88,2.07,4,3,True,False,22,2,10.0,40,20.0,14.0,7.0,19.0,28,0,14.0,28,20.0,16.0,10.0,10.0
2010,2010-10-29,9,24,2010-10-28,1.92,2.02,1,3,False,True,31,0,11.0,23,27.0,24.0,13.0,9.0,26,1,19.0,34,22.0,8.0,10.0,26.0
2010,2010-10-29,4,26,2010-10-28,1.81,2.16,2,5,False,True,32,1,13.0,33,38.0,8.0,12.0,13.0,24,1,19.0,35,28.0,5.0,6.0,15.0
2010,2010-10-30,27,13,2010-10-29,1.86,2.09,0,2,False,True,36,0,7.0,29,16.0,7.0,11.0,6.0,24,0,11.0,22,18.0,8.0,13.0,35.0
2010,2010-10-30,21,12,2010-10-29,1.68,2.39,1,2,False,True,28,1,8.0,24,23.0,6.0,7.0,14.0,27,0,8.0,26,17.0,4.0,3.0,5.0
2010,2010-10-30,16,8,2010-10-29,1.34,3.7,4,7,False,True,41,2,2.0,29,27.0,14.0,10.0,6.0,22,0,8.0,22,26.0,11.0,4.0,19.0
2010,2010-10-30,30,23,2010-10-29,1.91,2.04,0,4,False,True,29,0,11.0,24,26.0,8.0,10.0,10.0,25,1,11.0,27,13.0,6.0,10.0,27.0
2010,2010-10-30,0,18,2010-10-29,1.84,2.11,0,3,False,True,33,0,6.0,16,21.0,14.0,7.0,17.0,31,0,16.0,36,25.0,13.0,3.0,18.0
2010,2010-10-30,10,5,2010-10-29,1.61,2.53,5,2,True,False,28,1,10.0,34,25.0,4.0,6.0,15.0,25,0,10.0,28,16.0,4.0,7.0,13.0
2010,2010-10-30,15,9,2010-10-29,1.5,2.85,6,1,True,False,29,2,47.0,38,9.0,8.0,8.0,12.0,31,0,67.0,31,15.0,7.0,6.0,15.0
2010,2010-10-31,2,1,2010-10-30,1.97,1.97,2,7,False,True,29,0,11.0,40,21.0,7.0,6.0,7.0,28,3,17.0,32,18.0,5.0,14.0,18.0
2010,2010-10-31,7,21,2010-10-30,1.58,2.63,5,2,True,False,41,2,36.0,25,18.0,9.0,14.0,19.0,24,2,42.0,33,24.0,6.0,5.0,15.0
2010,2010-10-31,22,25,2010-10-30,1.68,2.38,5,1,True,False,31,1,25.0,27,13.0,18.0,8.0,10.0,34,1,31.0,35,15.0,8.0,1.0,7.0
2010,2010-10-31,26,12,2010-10-30,1.61,2.53,3,1,True,False,23,1,4.0,23,25.0,13.0,19.0,12.0,40,0,4.0,33,28.0,3.0,10.0,9.0
2010,2010-10-31,19,16,2010-10-30,2.08,1.87,1,3,False,True,26,0,4.0,25,28.0,7.0,6.0,11.0,32,0,6.0,24,31.0,3.0,3.0,21.0
2010,2010-10-31,29,17,2010-10-30,1.56,2.67,4,3,True,False,35,0,14.0,29,14.0,6.0,6.0,14.0,28,2,6.0,32,15.0,4.0,4.0,13.0
2010,2010-10-31,28,6,2010-10-30,1.57,2.63,0,3,False,True,23,0,33.0,27,28.0,6.0,6.0,9.0,23,0,15.0,27,24.0,3.0,4.0,19.0
2010,2010-10-31,4,31,2010-10-30,1.76,2.23,4,0,True,False,41,2,4.0,31,30.0,16.0,13.0,13.0,34,0,12.0,24,38.0,6.0,14.0,7.0
2010,2010-11-01,13,16,2010-10-31,2.05,1.9,3,2,True,False,23,1,6.0,26,35.0,11.0,4.0,33.0,35,1,6.0,28,18.0,12.0,0.0,15.0
2010,2010-11-01,15,0,2010-10-31,1.6,2.57,3,2,True,False,37,1,6.0,40,17.0,12.0,11.0,23.0,28,0,10.0,26,18.0,5.0,7.0,16.0
2010,2010-11-02,3,12,2010-11-01,1.56,2.67,3,0,True,False,23,0,11.0,27,14.0,7.0,7.0,18.0,30,0,13.0,19,18.0,3.0,3.0,15.0
2010,2010-11-02,27,30,2010-11-01,1.84,2.13,2,3,False,True,35,1,8.0,28,24.0,6.0,17.0,9.0,24,2,10.0,25,20.0,8.0,19.0,18.0
